ticker,company,name,name_count,women_count,excess,total_board,men_count,unknown_count,all_men_with_name,women_names,all_board_names
EHL,EMECO HOLDINGS LIMITED,Ian,2,0,2,5,5,0,"Ian Macliver, Ian Testrow",(none),Ian Macliver (M) | Ian Testrow (M) | James III (M) | Peter Frank (M) | Shaun Treacy (M)
EQR,EQ RESOURCES LIMITED,Stephen,2,0,2,5,5,0,"Stephen Layton, Stephen Weir",(none),Oliver Kleinhempel (M) | Craig Bradshaw (M) | Stephen Layton (M) | Stephen Weir (M) | Yeo Pei (M)
FGR,FIRST GRAPHENE LIMITED,Michael,2,0,2,4,3,1,"Michael Bell, Michael James Quinert",(none),Warwick Grigor (M) | Michael Bell (M) | Andrew Goodwin (?) | Michael Quinert (M)
FLG,FLAGSHIP MINERALS LIMITED,David,2,0,2,4,4,0,"David Hobby, David Docherty",(none),Paul Lock (M) | David Hobby (M) | Thanasak Chanyapoon (M) | David Docherty (M)
FOS,FOS CAPITAL LTD,Michael,2,0,2,4,4,0,"Michael Koutsakis, Michael Monsonego",(none),Alexander Beard (M) | Constantine Scrinis (M) | Michael Koutsakis (M) | Michael Monsonego (M)
GML,GATEWAY MINING LIMITED,David,2,0,2,5,5,0,"David Crook, David Morgan",(none),Andrew Bray (M) | Richard Pugh (M) | David Crook (M) | Anthony McClure (M) | David Morgan (M)
GA8,GOLDARC RESOURCES LIMITED,Paul,2,0,2,4,4,0,"Paul Summers, Paul Stephen",(none),Paul Summers (M) | Paul Stephen (M) | Ziggy Lubieniecki (M) | Leonard Math (M)
GOW,GOWING BROS LIMITED,John,2,0,2,6,6,0,"John Gowing, John G Parker",(none),John Gowing (M) | James Gowing (M) | Sean Clancy (M) | James Davis (M) | John Parker (M) | Stephen Sawtell (M)
GSN,GREAT SOUTHERN MINING LIMITED,Matthew,2,0,2,4,4,0,"Matthew Keane, Matthew Blake",(none),John Terpu (M) | Matthew Keane (M) | Matthew Blake (M) | Andrew Caruso (M)
HE8,HELIOS ENERGY LTD,John,2,0,2,5,5,0,"John Cathcart, John Kenny",(none),Philipp Kin (M) | John Cathcart (M) | John Kenny (M) | Mark Lochtenberg (M) | Henko Vos (M)
HRN,HORIZON GOLD LIMITED,Peter,2,0,2,4,4,0,"Peter Ross Sullivan, Peter Venn",(none),Peter Sullivan (M) | Scott Williamson (M) | Jamie Sullivan (M) | Peter Venn (M)
IVG,INVERT GRAPHITE LIMITED,Andrew,2,0,2,5,5,0,"Andrew Lawson, Andrew Boyd",(none),Simon Taylor (M) | Andrew Lawson (M) | Andrew Boyd (M) | Dominic Allen (M) | Anastasios Arima (M)
JAL,JAMESON RESOURCES LIMITED,Michael,2,0,2,3,3,0,"Michael John Gray, Michael Johnny McDonald",(none),Michael Gray (M) | Michael McDonald (M) | Steve Barneveld (M)
KP2,KORE POTASH PLC,David,2,0,2,6,6,0,"David Hathorn, David Netherway",(none),David Hathorn (M) | Andre Baya (M) | Amit Mehta (M) | David Netherway (M) | Wouter Pulinx (M) | Jonathan Trollip (M)
LCL,LCL RESOURCES LIMITED,Christopher,2,0,2,3,3,0,"Christopher Van Wijk, Christopher Knee",(none),Christopher Wijk (M) | Christopher Knee (M) | Kevin Wilson (M)
LAU,LINDSAY AUSTRALIA LIMITED,Robert,2,0,2,5,5,0,"Robert Lewis Green, Robert Maxwell Miller",(none),Ian Williams (M) | Rodney Boys (M) | Stephen Cantwell (M) | Robert Green (M) | Robert Miller (M)
MEK,MEEKA METALS LIMITED,Paul,2,0,2,4,4,0,"Paul Chapman, Paul Adams",(none),Paul Chapman (M) | Timothy Davidson (M) | Paul Adams (M) | Roger Steinepreis (M)
MSV,MITCHELL SERVICES LIMITED,Peter,2,0,2,8,8,0,"Peter Geoffrey Hudson, Peter Richard Miller",(none),Nathan Mitchell (M) | Andrew Elf (M) | Robert Douglas (M) | Peter Hudson (M) | Peter Miller (M) | Neal O'Connor (M) | Scott Tumbridge (M) | Grant Moyle (M)
NGX,NGX LIMITED,Matthew,2,0,2,4,4,0,"Matthew James Bungey, Matthew Gordon Syme",(none),Ian Middlemas (M) | Matthew Bungey (M) | Mark Pearce (M) | Matthew Syme (M)
NWM,NORWEST MINERALS LIMITED,Charles,2,0,2,7,7,0,"Charles Schaus, Charles Schaus",(none),Charles Schaus (M) | Charles Schaus (M) | Oliver Carton (M) | Yew Chee (M) | Kok Leong (M) | Ching Loong (M) | Hok Sia (M)
NOR,NORWOOD SYSTEMS LIMITED,Philip,2,0,2,4,3,1,"Philip Marsland, Philip Otley",(none),Paul Ostergaard (M) | Philip Marsland (M) | Philip Otley (M) | John Tarrant (?)
NOV,NOVATTI GROUP LIMITED,Peter,2,0,2,5,5,0,"Peter Edward Pawlowitsch, Peter Samuel Cook",(none),Peter Pawlowitsch (M) | Peter Cook (M) | Kenneth Lai (M) | Tom Ng (M) | Christopher Ryan (M)
ODY,ODYSSEY GOLD LTD,Matthew,2,0,2,5,5,0,"Matthew Briggs, Matthew Syme",(none),Ian Middlemas (M) | Matthew Briggs (M) | Levi Mochkin (M) | Robert Behets (M) | Matthew Syme (M)
PXR,PACIFIC RESOURCES LIMITED,Andrew,2,0,2,7,6,1,"Andrew Fogg, Andrew Keith Macintosh",(none),Anthony Chan (M) | Andrew Fogg (M) | Daniel Chan (M) | Mena Habib (M) | Lee Lam (?) | Andrew Macintosh (M) | Peter Tsang (M)
PTR,PTR MINERALS LTD,Simon,2,0,2,5,5,0,"Simon O'Loughlin, Simon Taylor",(none),Derek Carter (M) | Rob Sennitt (M) | Simon O'Loughlin (M) | Donald Stephens (M) | Simon Taylor (M)
QPM,QPM ENERGY LIMITED,John,2,0,2,5,4,1,"John Downie, John Abbott",(none),Eddie King (M) | John Downie (M) | John Abbott (M) | Sharna Glover (?) | James Simpson (M)
RNX,RENEGADE EXPLORATION LIMITED,Mark,2,0,2,3,3,0,"Mark Connelly, Mark Wallace",(none),Robert Kirtlan (M) | Mark Connelly (M) | Mark Wallace (M)
RIE,RIEDEL RESOURCES LIMITED,Scott,2,0,2,3,3,0,"Scott Cuomo, Scott Patrizi",(none),Scott Cuomo (M) | Scott Patrizi (M) | Adrien Wing (M)
RTR,RUMBLE RESOURCES LIMITED,Peter,2,0,2,5,5,0,"Peter Harold, Peter Venn",(none),Geoff Jones (M) | Peter Harold (M) | Peter Venn (M) | Matthew Banks (M) | Michael Smith (M)
SBR,SABRE RESOURCES LIMITED,Michael,2,0,2,4,4,0,"Michael Norburn, Michael Scivolo",(none),Jon Dugdale (M) | Basil Conti (M) | Michael Norburn (M) | Michael Scivolo (M)
SRG,SRG GLOBAL LIMITED,Peter,2,0,2,4,4,0,"Peter McMorrow, Peter Brecht",(none),Peter McMorrow (M) | David Macgeorge (M) | Michael Atkins (M) | Peter Brecht (M)
SRZ,STELLAR RESOURCES LIMITED,Simon,2,0,2,4,4,0,"Simon Taylor, Simon O'Loughlin",(none),Mark Connelly (M) | Simon Taylor (M) | Andrew Boyd (M) | Simon O'Loughlin (M)
SRT,STRATA INVESTMENT HOLDINGS PLC,David,2,0,2,3,3,0,"David Michael McNeilly, David Alan Wargo",(none),Charles Hall (M) | David McNeilly (M) | David Wargo (M)
