ticker,company,name,name_count,women_count,excess,total_board,men_count,unknown_count,all_men_with_name,women_names,all_board_names
GHM,GOLDEN HORSE MINERALS LIMITED,Graeme,1,0,1,4,4,0,Graeme Sloan,(none),Graeme Sloan (M) | Nicholas Anderson (M) | Brett Dunnachie (M) | James Harris (M)
G88,GOLDEN MILE RESOURCES LTD,Grant,1,0,1,3,3,0,Grant Button,(none),Grant Button (M) | Michele Bina (M) | Frank Cannavo (M)
GSM,GOLDEN STATE MINING LIMITED,Keith,1,0,1,3,3,0,Keith Middleton,(none),Keith Middleton (M) | Christopher Tuckwell (M) | Alexander Tunnadine (M)
GG8,GORILLA GOLD MINES LTD,Dean,1,0,1,5,5,0,Dean Hely,(none),Dean Hely (M) | Kelvin Flynn (M) | Alex Hewlett (M) | Craig Jones (M) | Simon Lawson (M)
GGE,GRAND GULF ENERGY LIMITED,Patrick,1,0,1,3,3,0,Patrick Burke,(none),Patrick Burke (M) | Yann Cherruau (M) | Fergus Kiley (M)
GRR,GRANGE RESOURCES LIMITED.,Weidong,1,0,1,5,4,1,Weidong Wang,(none),Michelle Li (?) | Weidong Wang (M) | John Hoon (M) | Jiajia Jiang (M) | Ajanth Saverimutto (M)
GR8,GREAT DIRT RESOURCES LTD,Jeremy,1,0,1,3,3,0,Jeremy Sean Whybrow,(none),Jeremy Whybrow (M) | Martin Helean (M) | Sam Wright (M)
GDM,GREAT DIVIDE MINING LTD,Paul,1,0,1,4,4,0,Paul Ryan,(none),Paul Ryan (M) | Justin Haines (M) | Adam Arkinstall (M) | Simon Tolhurst (M)
GTE,GREAT WESTERN EXPLORATION LIMITED.,Kevin,1,0,1,4,4,0,Kevin Somes,(none),Kevin Somes (M) | Shane Pike (M) | Grey Egerton-Warburton (M) | Ross Williams (M)
GG1,GREEN & GOLD MINERALS LIMITED,Anthony,1,0,1,3,3,0,Anthony Bellas,(none),Anthony Bellas (M) | Quentin Hill (M) | Edward Boulton (M)
GT1,GREEN TECHNOLOGY METALS LIMITED,John,1,0,1,5,5,0,John Young,(none),John Young (M) | Cameron Henry (M) | Han Cho (M) | Robin Longley (M) | Patrick Murphy (M)
GT3,GREEN360 TECHNOLOGIES LIMITED,Aaron,1,0,1,4,4,0,Aaron Banks,(none),Aaron Banks (M) | Darren Hedley (M) | Mark Pensabene (M) | Peter Trinder (M)
H2G,GREENHY2 LIMITED,Paul,1,0,1,3,3,0,Paul Dalgleish,(none),Paul Dalgleish (M) | William Howard (M) | Michael Seder (M)
GRE,GREENTECH METALS LIMITED,Simon,1,0,1,4,4,0,Simon Kidston,(none),Simon Kidston (M) | Thomas Reddicliffe (M) | Stefan Murphy (M) | Jozsef Patarica (M)
GRV,GREENVALE ENERGY LTD,Neil,1,0,1,4,4,0,Neil Biddle,(none),Neil Biddle (M) | Alex Cheeseman (M) | John Barr (M) | Elias Khouri (M)
GW1,GREENWING RESOURCES LTD,Peter,1,0,1,3,3,0,Peter Wright,(none),Peter Wright (M) | James Brown (M) | Jeffrey Marvin (M)
